386,MILA
387,MILC
388,MILDEAD
389,milenc
390,Mil_spp
391,MM
392,Moann
393,Mont_spp
394,MURSPP
395,OCFA
396,OctoThnSft
397,Other Inv
398,Paly
399,Pavement
400,PLESPP
401,PLEXSPP
402,PorAstr
403,PorDiv
404,PorFurc
405,Porites
406,PorPor
407,Psebip
408,PSESPP
409,Pseudopter
410,PseuStrig
411,RAUE
412,RD_HC
413,ROSP
414,SaRub
415,Siderastr
416,SINV_SPO_C
417,SINV_SPO_V
418,SpongeCRUS
419,SPTU
420,StephInt
421,ThalHemp
422,ThalTes
423,TMAS
424,Turf_sand
425,UnkMacroa
426,Acant
427,AlgaeAssem
428,Ascidian
429,Astre
430,BluGreAl
431,BrittlStar
432,BrownAl
433,Coelo
434,Cosci
435,Ctena
436,DeadCoral
437,Diplo
438,Dipsa
439,Echinoph
440,Echinopo
441,Euphy
442,Favit
443,FeatheStar
444,FilamentAl
445,Foramin
446,Frame
447,Fungi
448,Galax
449,Gardi
450,GastropNud
451,GastropShl
452,Gonia
453,GreenAl
454,Halom
455,Hydno
456,Isopo
457,Leptor
458,Leptos
459,Litho
460,Lobop
461,Merul
462,Myced
463,OtherInver
464,Oulas
465,Oxypo
466,Pecti
467,Physo
468,Planted
469,Platy
470,Pocil
471,Psamm
472,RedAl
473,Rubbles
474,Sanda
475,Scapo
476,Scoly
477,SeaCucum
478,SeaStar
479,SeaUrchin
480,Seria
481,Styloc
482,Stylop
483,Symph
484,Tridacna
485,Tubip
486,Turbi
487,TurfAl
488,Unclear
489,Zoanthids
490,Zoopi
491,AsCy
492,Dead
493,ENmont
494,Hard
495,Inv
496,Lobph
497,LoSi
498,Mste
499,Non-Bio
500,Octo
501,Sarco
502,Soft
503,BARK
504,BMATRub
505,CAL_CCA_RB
506,CNTR
507,EAM_DHC
508,HV
509,TA
510,T_M
511,Transect
512,Turf coral
513,VC
514,AL_fleshy
515,C_branch
516,HcD
517,HC_encr
518,HC_massive
519,OR_Invert
520,BLC
521,BRAIN
522,CMA
523,FIRE
524,FMA
525,GORG
526,LC(B)
527,LC(M)
528,MCAV
